Name,URL
73.Patsy’s American,/biz/patsys-american-vienna?osq=Minority+Owned
74.Oh George! Tables & Taphouse,/biz/oh-george-tables-and-taphouse-fairfax-2?osq=Minority+Owned
75.Sisters Thai Mosaic District,/biz/sisters-thai-mosaic-district-fairfax-8?osq=Minority+Owned
76.Akai Tori Ramen & Yakitori,/biz/akai-tori-ramen-and-yakitori-vienna?osq=Minority+Owned
77.Lebanese Kitchen,/biz/lebanese-kitchen-fairfax?osq=Minority+Owned
78.Open Road Grill,/biz/open-road-grill-falls-church?osq=Minority+Owned
79.Saravana Palace,/biz/saravana-palace-fairfax?osq=Minority+Owned
80.Founding Farmers - Tysons,/biz/founding-farmers-tysons-tysons-6?osq=Minority+Owned
81.Ristorante Bonaroti,/biz/ristorante-bonaroti-vienna?osq=Minority+Owned
82.Mottern Masonry Design,/biz/mottern-masonry-design-vienna?osq=Minority+Owned
83.Seasons 52,/biz/seasons-52-mclean-4?osq=Minority+Owned
84.Crust Pizzeria Napoletana,/biz/crust-pizzeria-napoletana-vienna-2?osq=Minority+Owned
85.Rosa Family Chiropractic,/biz/rosa-family-chiropractic-falls-church?osq=Minority+Owned
86.Cafe Renaissance,/biz/cafe-renaissance-vienna?osq=Minority+Owned
87.MacMillan Whisky Room,/biz/macmillan-whisky-room-fairfax?osq=Minority+Owned
88.Famous Dave’s Bar-B-Que,/biz/famous-daves-bar-b-que-oakton-4?osq=Minority+Owned
89.Peterson’s Ice Cream Depot,/biz/petersons-ice-cream-depot-clifton?osq=Minority+Owned
91.Village Chicken,/biz/village-chicken-west-springfield-3?osq=Minority+Owned
92.Pizza Boli’s,/biz/pizza-bolis-fairfax-3?osq=Minority+Owned
93.Matchbox - Merrifield,/biz/matchbox-merrifield-fairfax-3?osq=Minority+Owned
94.BMW of Fairfax,/biz/bmw-of-fairfax-fairfax?osq=Minority+Owned
95.Steadfast Construction,/biz/steadfast-construction-vienna?osq=Minority+Owned
96.Idylwood Grill & Wine Bar,/biz/idylwood-grill-and-wine-bar-falls-church?osq=Minority+Owned
97.MOD Pizza,/biz/mod-pizza-vienna-2?osq=Minority+Owned
98.Optimum Chiropractic & Health Center,/biz/optimum-chiropractic-and-health-center-annandale-2?osq=Minority+Owned
99.Vocelli Pizza,/biz/vocelli-pizza-fairfax-5?osq=Minority+Owned
100.Yechon,/biz/yechon-annandale?osq=Minority+Owned
101.Whole Foods Market,/biz/whole-foods-market-fairfax-2?osq=Minority+Owned
102.Ted’s Bulletin,/biz/teds-bulletin-fairfax-4?osq=Minority+Owned
103.Guapo’s Restaurant,/biz/guapos-restaurant-fairfax?osq=Minority+Owned
104.Red Lobster,/biz/red-lobster-fairfax?osq=Minority+Owned
105.Pupuseria El Buen Gusto,/biz/pupuseria-el-buen-gusto-fairfax?osq=Minority+Owned
106.Pan Am Family Restaurant and Pizza,/biz/pan-am-family-restaurant-and-pizza-fairfax?osq=Minority+Owned
107.Ristorante Bonaroti,/biz/ristorante-bonaroti-vienna?osq=Minority+Owned
108.Yummy Kabob,/biz/yummy-kabob-annandale-2?osq=Minority+Owned
109.Kura Revolving Sushi Bar,/biz/kura-revolving-sushi-bar-tysons-2?osq=Minority+Owned
110.Passion Fin,/biz/passion-fin-vienna?osq=Minority+Owned
111.Lost Dog Cafe - Dunn Loring,/biz/lost-dog-cafe-dunn-loring-fairfax?osq=Minority+Owned
112.Maggiano’s Little Italy,/biz/maggianos-little-italy-mclean?osq=Minority+Owned
113.Neiman Marcus,/biz/neiman-marcus-mclean?osq=Minority+Owned
114.Lube it,/biz/lube-it-falls-church-2?osq=Minority+Owned
115.Silver Diner,/biz/silver-diner-merrifield?osq=Minority+Owned
116.Bazin’s on Church,/biz/bazins-on-church-vienna?osq=Minority+Owned
117.Jobin Realty,/biz/jobin-realty-burke?osq=Minority+Owned
118.Cherner Automotive Group,/biz/cherner-automotive-group-mc-lean?osq=Minority+Owned
119.Elevation Burger,/biz/elevation-burger-fairfax?osq=Minority+Owned
120.Olive Garden Italian Restaurant,/biz/olive-garden-italian-restaurant-vienna-6?osq=Minority+Owned
121.Dickey’s Barbecue Pit,/biz/dickeys-barbecue-pit-fairfax-3?osq=Minority+Owned
122.Shake Shack Tysons Corner,/biz/shake-shack-mclean-16?osq=Minority+Owned
123.Harth,/biz/harth-mclean-2?osq=Minority+Owned
124.Lost Dog Cafe,/biz/lost-dog-cafe-mclean?osq=Minority+Owned
125.Greenhouse Bistro,/biz/greenhouse-bistro-vienna-2?osq=Minority+Owned
126.Papa Johns Pizza,/biz/papa-johns-pizza-falls-church-3?osq=Minority+Owned
127.Casa D’Mama Pizzeria,/biz/casa-d-mama-pizzeria-annandale-2?osq=Minority+Owned
141.Red Apron Butcher,/biz/red-apron-butcher-fairfax?osq=Minority+Owned
142.Tysons Biergarten,/biz/tysons-biergarten-mclean?osq=Minority+Owned
143.Yechon,/biz/yechon-annandale?osq=Minority+Owned
144.Famous Dave’s Bar-B-Que,/biz/famous-daves-bar-b-que-oakton-4?osq=Minority+Owned
145.Einstein Bros. Bagels,/biz/einstein-bros-bagels-fairfax?osq=Minority+Owned
146.Classic Bakery,/biz/classic-bakery-tysons?osq=Minority+Owned
147.Coastal Flats,/biz/coastal-flats-mclean?osq=Minority+Owned
148.PLNT Burger,/biz/plnt-burger-mclean?osq=Minority+Owned
149.Angelika Film Center & Café at Mosaic,/biz/angelika-film-center-and-caf%C3%A9-at-mosaic-fairfax-6?osq=Minority+Owned
150.The Capital Grille,/biz/the-capital-grille-mclean-2?osq=Minority+Owned
151.Sakura,/biz/sakura-fairfax?osq=Minority+Owned
152.Velocity Wings,/biz/velocity-wings-fairfax?osq=Minority+Owned
153.Pizza Boli’s,/biz/pizza-bolis-fairfax-3?osq=Minority+Owned
154.Fleming’s Prime Steakhouse & Wine Bar,/biz/fleming-s-prime-steakhouse-and-wine-bar-mclean-2?osq=Minority+Owned
155.Blue Iguana,/biz/blue-iguana-fairfax?osq=Minority+Owned
156.Texas de Brazil - Fairfax,/biz/texas-de-brazil-fairfax?osq=Minority+Owned
157.Bangkok Street Thai Restaurant,/biz/bangkok-street-thai-restaurant-fairfax?osq=Minority+Owned
158.Buffalo Wild Wings,/biz/buffalo-wild-wings-fairfax?osq=Minority+Owned
159.Tonys NY Pizza,/biz/tonys-ny-pizza-fairfax?osq=Minority+Owned
160.Village Chicken,/biz/village-chicken-west-springfield-3?osq=Minority+Owned
161.Vocelli Pizza,/biz/vocelli-pizza-fairfax-5?osq=Minority+Owned
162.The Cheesecake Factory,/biz/the-cheesecake-factory-fairfax-4?osq=Minority+Owned
163.MOD Pizza,/biz/mod-pizza-fairfax-2?osq=Minority+Owned
164.Beyond20,/biz/beyond20-fairfax?osq=Minority+Owned
165.Peterson’s Ice Cream Depot,/biz/petersons-ice-cream-depot-clifton?osq=Minority+Owned
166.Olivia Macaron,/biz/olivia-macaron-mclean?osq=Minority+Owned
167.Uncle Julio’s,/biz/uncle-julios-fairfax?osq=Minority+Owned
168.Brio Italian Grille,/biz/brio-italian-grille-fairfax-2?osq=Minority+Owned
169.Cava,/biz/cava-fairfax?osq=Minority+Owned
170.El Tio Tex Mex Grill,/biz/el-tio-tex-mex-grill-falls-church?osq=Minority+Owned
171.Panisa Thai Dining,/biz/panisa-thai-dining-burke?osq=Minority+Owned
172.Whole Foods Market,/biz/whole-foods-market-mclean?osq=Minority+Owned
173.Glory Days Grill,/biz/glory-days-grill-fairfax?osq=Minority+Owned
174.Silver Diner,/biz/silver-diner-merrifield?osq=Minority+Owned
175.Elevation Burger,/biz/elevation-burger-fairfax?osq=Minority+Owned
176.Giardino Italian Restaurant,/biz/giardino-italian-restaurant-springfield-2?osq=Minority+Owned
177.Natta Thai,/biz/natta-thai-vienna?osq=Minority+Owned
178.Chipotle Mexican Grill,/biz/chipotle-mexican-grill-oakton?osq=Minority+Owned
179.Tanpopo Ramen House,/biz/tanpopo-ramen-house-annandale?osq=Minority+Owned
180.Maggiano’s Little Italy,/biz/maggianos-little-italy-mclean?osq=Minority+Owned
181.Olive Garden Italian Restaurant,/biz/olive-garden-italian-restaurant-fairfax-4?osq=Minority+Owned
182.Fava Pot Truck,/biz/fava-pot-truck-falls-church?osq=Minority+Owned
